dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg5_seed57.csv,iaq_varyQ_seg5_seed57,Q,0.2725195798833544,0.2537560214538118,0.46558526321502564,107.30337291137201,0.2727272727272727,0.75,0.39999999999999997,4,11,7,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg5_seed77.csv,iaq_varyQ_seg5_seed77,Q,0.3601008033564119,0.39078194172121594,0.5729882443020954,178.81198124678104,0.3,0.75,0.4285714285714285,4,10,6,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg6_seed14.csv,iaq_varyQ_seg6_seed14,Q,0.3417821750037233,0.3901514295220977,0.5625437044263812,206.7677150006085,0.0,0.0,0.0,5,11,6,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg6_seed35.csv,iaq_varyQ_seg6_seed35,Q,0.4239098534985211,0.4100891474429494,0.8515427863923094,274.7084257436758,0.5,0.6,0.5454545454545454,5,6,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,iaq_varyQ_seg8_seed51,Q,0.4356516511455306,0.430443872966319,0.647199913130596,289.949469345452,0.3,0.42857142857142855,0.3529411764705882,7,10,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg9_seed68.csv,iaq_varyQ_seg9_seed68,Q,0.40870765799950887,0.4003988604464185,1.678169915439704,169.62167655702572,0.5,0.875,0.6363636363636364,8,14,6,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg9_seed9.csv,iaq_varyQ_seg9_seed9,Q,0.1999983749593368,0.24201416365008724,0.6525670690271305,77.83099427136034,0.7272727272727273,1.0,0.8421052631578948,8,11,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg9_seed92.csv,iaq_varyQ_seg9_seed92,Q,0.2588762863435946,0.1826465111485945,1.3854232847170973,147.37654271550284,0.6,0.75,0.6666666666666665,8,10,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_1,Q,0.16952325015380915,0.1520089062973091,0.5855785869403298,56.293422774009876,0.75,0.9,0.8181818181818182,10,12,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_2,Q,0.18075018455128042,0.13530602190585442,0.5731210564103437,62.21522012554916,0.75,0.9,0.8181818181818182,10,12,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_3,Q,0.174387481757772,0.16065690663514434,0.48438487635608857,57.03272518348331,0.75,0.9,0.8181818181818182,10,12,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_1,Q,0.3967713440929724,0.3747038817062018,0.866905583260561,179.96266170744116,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_2,Q,0.3932305014813795,0.4497885559641382,0.6401455879869542,185.91827321297828,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,Average_ensemble_3,Q,0.3554004270872845,0.35866897583007634,0.8627167208918366,157.55670820993814,0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,3,64,1500,1100,6.177938360791919
