number,value,datetime_start,datetime_complete,duration,params_distance,params_margin_h,params_prominence_factor,params_sigma,params_window_size,user_attrs_mean_count_error,user_attrs_mean_precision,user_attrs_mean_recall,state
59,0.645126632263057,2026-07-07 01:02:38.896334,2026-07-07 01:02:39.172490,0 days 00:00:00.276156,21,0.48194436104941757,0.0052856472420632974,4.809816860422306,29,2.5,0.6289366189366189,0.7839534077034076,COMPLETE
60,0.654551178170777,2026-07-07 01:02:39.172490,2026-07-07 01:02:39.432370,0 days 00:00:00.259880,21,0.4774279463568716,0.005252457029859667,5.324268076122951,29,2.45,0.6327322677322677,0.7915129315129315,COMPLETE
61,0.6451427604267825,2026-07-07 01:02:39.432370,2026-07-07 01:02:39.699844,0 days 00:00:00.267474,21,0.467188015909478,0.004987186524235643,4.887055737679238,29,2.65,0.6201454101454101,0.7877995615495615,COMPLETE
62,0.6522967922058647,2026-07-07 01:02:39.699844,2026-07-07 01:02:40.004865,0 days 00:00:00.305021,21,0.4166770950000111,0.005559322965677345,5.28858220737629,29,2.5,0.6304595404595404,0.7915129315129315,COMPLETE
63,0.6510906682127097,2026-07-07 01:02:40.004865,2026-07-07 01:02:40.298130,0 days 00:00:00.293265,18,0.43962439194816416,0.003971508476759316,5.190952547552853,24,4.4,0.6018914418914418,0.8862674825174824,COMPLETE
64,0.6521882702170424,2026-07-07 01:02:40.298130,2026-07-07 01:02:40.558102,0 days 00:00:00.259972,18,0.4081072456421848,0.003583202942350431,5.337301865773956,24,4.4,0.6012805944055943,0.8807167832167832,COMPLETE
65,0.5825570832354939,2026-07-07 01:02:40.558102,2026-07-07 01:02:40.824126,0 days 00:00:00.266024,15,0.40891653533782685,0.003857326722095155,5.3009848505678026,23,6.95,0.5318685665899288,0.9207750582750582,COMPLETE
66,0.6147781977279659,2026-07-07 01:02:40.824126,2026-07-07 01:02:41.101930,0 days 00:00:00.277804,16,0.4166630387600712,0.007576879082258917,6.402022509835443,25,3.85,0.5835670579420579,0.8137470862470864,COMPLETE
67,0.6438079864826398,2026-07-07 01:02:41.101930,2026-07-07 01:02:41.400454,0 days 00:00:00.298524,17,0.35492179742678165,0.0038997787915765582,5.95627012686403,24,4.5,0.5922621128871128,0.8803758741258741,COMPLETE
68,0.6538461157578803,2026-07-07 01:02:41.400454,2026-07-07 01:02:41.691689,0 days 00:00:00.291235,18,0.44106299945396316,0.005224987220569327,5.7286027522973875,27,3.4,0.6185830835830836,0.8431585081585082,COMPLETE
69,0.6399429242641317,2026-07-07 01:02:41.691689,2026-07-07 01:02:41.972936,0 days 00:00:00.281247,18,0.4414821848022438,0.006024724346547726,6.258502041352629,27,3.15,0.6098276723276723,0.805354229104229,COMPLETE
70,0.5305814051848535,2026-07-07 01:02:41.972936,2026-07-07 01:02:42.239077,0 days 00:00:00.266141,13,0.395304830551633,0.0044835579398936135,5.840149532179818,26,7.95,0.4884700945769057,0.8966083916083916,COMPLETE
71,0.6382834200642789,2026-07-07 01:02:42.239077,2026-07-07 01:02:42.490367,0 days 00:00:00.251290,18,0.4309167704611863,0.012813170305235905,5.339856907964575,24,2.6,0.6186582167832169,0.7914287101787102,COMPLETE
72,0.6403004145139692,2026-07-07 01:02:42.490367,2026-07-07 01:02:42.795400,0 days 00:00:00.305033,19,0.3436675287104004,0.008477057037861464,5.0772131780307275,22,3.7,0.5998079004329004,0.8298785936285936,COMPLETE
73,0.6600071689576334,2026-07-07 01:02:42.795400,2026-07-07 01:02:43.045887,0 days 00:00:00.250487,23,0.4701008578889923,0.006115327982301906,5.705504241813229,27,2.15,0.6425757575757576,0.784606365856366,COMPLETE
74,0.6515016625176472,2026-07-07 01:02:43.045887,2026-07-07 01:02:43.342151,0 days 00:00:00.296264,20,0.4602399546929769,0.006081708769139394,6.587130659804702,28,2.25,0.6303979353979353,0.7775987900987902,COMPLETE
75,0.6515016625176472,2026-07-07 01:02:43.342151,2026-07-07 01:02:43.594018,0 days 00:00:00.251867,20,0.4692421032130929,0.0060904535874615915,6.577359296347702,28,2.25,0.6303979353979353,0.7775987900987902,COMPLETE
76,0.6588649103808951,2026-07-07 01:02:43.594018,2026-07-07 01:02:43.886308,0 days 00:00:00.292290,20,0.48597059616914773,0.0057180469044883515,6.707059289356225,28,2.3,0.6357675657675658,0.788908313908314,COMPLETE
77,0.6384207940397199,2026-07-07 01:02:43.886308,2026-07-07 01:02:44.164009,0 days 00:00:00.277701,20,0.48559161851344423,0.006734988241025797,6.177969615718312,30,1.95,0.6245454545454545,0.7482337107337107,COMPLETE
78,0.5975644991901552,2026-07-07 01:02:44.164009,2026-07-07 01:02:44.426040,0 days 00:00:00.262031,17,0.4530314744609444,0.0053671732614636435,7.719874375305579,27,3.2,0.5731978438228439,0.7680322455322456,COMPLETE
79,0.6412141247910194,2026-07-07 01:02:44.426040,2026-07-07 01:02:44.690543,0 days 00:00:00.264503,21,0.4166977353846503,0.003105558392122764,7.267442395370244,26,2.85,0.611051726051726,0.7924135586635587,COMPLETE
80,0.6525860509198105,2026-07-07 01:02:44.690543,2026-07-07 01:02:44.981641,0 days 00:00:00.291098,22,0.3921722475066956,0.008473617127032523,6.6150948186455265,28,1.25,0.6532284382284382,0.744438616938617,COMPLETE
81,0.650657479491239,2026-07-07 01:02:44.983731,2026-07-07 01:02:45.260692,0 days 00:00:00.276961,22,0.39481606445111,0.008555974786418183,6.601045177099062,28,1.3,0.6518648018648019,0.744438616938617,COMPLETE
82,0.6354630872223751,2026-07-07 01:02:45.260692,2026-07-07 01:02:45.547038,0 days 00:00:00.286346,23,0.46589288407001395,0.00441422375276118,5.737583215294209,30,1.95,0.6200894938394937,0.7445432345432346,COMPLETE
83,0.6589104527298429,2026-07-07 01:02:45.547038,2026-07-07 01:02:45.809704,0 days 00:00:00.262666,19,0.38474040664305004,0.005775995522480457,6.06520556291822,25,3.35,0.6230935730935732,0.8457546620046621,COMPLETE
84,0.618561724081545,2026-07-07 01:02:45.809704,2026-07-07 01:02:46.083539,0 days 00:00:00.273835,19,0.36701595882087074,0.0071641222669530024,7.2599599862878,25,2.15,0.6089552114552114,0.7401913364413365,COMPLETE
85,0.5905772083360263,2026-07-07 01:02:46.083539,2026-07-07 01:02:46.359482,0 days 00:00:00.275943,15,0.40251649239154996,0.010914473199886246,5.98985699429933,26,3.75,0.5651477688977689,0.7799009324009324,COMPLETE
