number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_kappa,params_lambda_phys,params_lr_net,params_lr_params,params_n_colloc,params_ramp_epochs,params_warmup_epochs,user_attrs_mean_f1,user_attrs_mean_recon_err,state
20,-0.4129099928023017,2026-07-12 03:23:21.599025,2026-07-12 03:28:35.409337,0 days 00:05:13.810312,96,67.50197925905539,3.2322560214159366,0.0010774634767104375,0.02102704983061514,500,1600,1400,0.6173379760336283,0.4746437904056645,COMPLETE
21,-0.22680590352621305,2026-07-12 03:28:35.412337,2026-07-12 03:33:05.906767,0 days 00:04:30.494430,64,93.74366144382353,9.344529470907368,0.006272614406085145,7.997073571220028e-05,700,1100,2000,0.6837191793713533,0.29517782146334837,COMPLETE
22,-0.23434402398058365,2026-07-12 03:33:05.909772,2026-07-12 03:38:01.358419,0 days 00:04:55.448647,64,80.84482703791555,6.243827391885855,0.006841950098208677,2.740992069434435e-05,800,1100,1600,0.638481084133258,0.29819213239390946,COMPLETE
23,-0.22139440925620837,2026-07-12 03:38:01.360931,2026-07-12 03:42:47.510130,0 days 00:04:46.149199,64,107.75098115496883,8.693801653136934,0.003026618722467752,8.943744026148831e-05,500,1350,1400,0.6655373611895351,0.2879481453751619,COMPLETE
24,-0.24380689003785216,2026-07-12 03:42:47.513130,2026-07-12 03:48:07.883542,0 days 00:05:20.370412,64,68.02250755500538,0.11414961135986047,0.005586502548353556,3.226084758377249e-05,1400,850,1700,0.625130183825836,0.30631990842043577,COMPLETE
25,-0.24199707906299783,2026-07-12 03:48:07.885540,2026-07-12 03:55:33.350346,0 days 00:07:25.464806,128,94.14345711924727,5.998467965704056,0.012946930394551092,0.00031495639742761303,1000,1100,900,0.6837191793713533,0.31036899700013315,COMPLETE
26,-0.24230085282150865,2026-07-12 03:55:33.353347,2026-07-12 04:00:09.837593,0 days 00:04:36.484246,64,123.38845979661859,9.85826454305018,0.002651439185432298,2.1391948771958444e-05,300,1850,1400,0.6218144174665914,0.3044822945681678,COMPLETE
27,-0.2105975615371205,2026-07-12 04:00:09.839724,2026-07-12 04:04:53.865444,0 days 00:04:44.025720,64,32.66127196206898,4.717063302948746,0.020766990199944026,6.697066257884371e-05,600,600,1600,0.6907898864420604,0.27967655018132653,COMPLETE
28,-0.2662795114491071,2026-07-12 04:04:53.867442,2026-07-12 04:10:16.603995,0 days 00:05:22.736553,64,19.851880716314113,2.781841596190169,0.02167780202599719,0.0008836174976276881,1500,600,2000,0.690065248760901,0.3352860363251972,COMPLETE
29,-0.24744632441789044,2026-07-12 04:10:16.605996,2026-07-12 04:16:05.666738,0 days 00:05:49.060742,32,31.222834347740225,4.304316289301232,0.0004478903853268962,1.7916327332231696e-05,2900,850,1700,0.6259238346194869,0.3100387078798391,COMPLETE
